Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     34.05     0.00        1     0.00     0.00  CCfgConfig::getDiskGroupAtPtr(int)
  0.00     34.05     0.00        1     0.00     0.00  CCfgConfig::getCurrNumDiskGroups()
  0.00     34.05     0.00        1     0.00     0.00  CCfgConfig::init(int, int, int)
  0.00     34.05     0.00        1     0.00     0.00  CCfgConfig::debug(int, char const*, char const*)
  0.00     34.05     0.00        1     0.00     0.00  CCfgConfig::terminate()
  0.00     34.05     0.00        1     0.00     0.00  CCfgConfig::CCfgConfig(int, int, int)
  0.00     34.05     0.00        1     0.00     0.00  CCfgConfig::~CCfgConfig()
  0.00     34.05     0.00        1     0.00     0.00  CCfgContext::initDefaults()
  0.00     34.05     0.00        1     0.00     0.00  CCfgContext::resetDataLocation(char*)
  0.00     34.05     0.00        1     0.00     0.00  CCfgContext::getBaseDirTableFile(char*, int)
  0.00     34.05     0.00        1     0.00     0.00  CCfgContext::getBaseDirTableFilePath(char*, int)
  0.00     34.05     0.00        1     0.00     0.00  CCfgContext::getBaseSuperBlockTableFile(char*, int, long)
  0.00     34.05     0.00        1     0.00     0.00  CCfgContext::getBaseSuperBlockTableFilePath(char*, int, long)
  0.00     34.05     0.00        1     0.00     0.00  CCfgContext::CCfgContext()
  0.00     34.05     0.00        1     0.00     0.00  CCfgContext::~CCfgContext()
  0.00     34.05     0.00        1     0.00     0.00  CDskDiskMan::addDiskGroup(long, long, long, char*, char*, char*)
  0.00     34.05     0.00        1     0.00     0.00  CDskDiskMan::initDiskGroup()
  0.00     34.05     0.00        1     0.00     0.00  CDskDiskMan::testDiskMan_MakeDir(long*, long)
  0.00     34.05     0.00        1     0.00     0.00  CDskDiskMan::init(char*, char*, int, int, int, int)
  0.00     34.05     0.00        1     0.00     0.00  CDskDiskMan::doChDir(long)
  0.00     34.05     0.00        1     0.00     0.00  CDskDiskMan::terminate()
  0.00     34.05     0.00        1     0.00     0.00  CDskDiskMan::CDskDiskMan(void*, char*, char*, int, int, int, int)
  0.00     34.05     0.00        1     0.00     0.00  CDskDiskMan::~CDskDiskMan()
  0.00     34.05     0.00        1     0.00     0.00  CDskPathMan::getMaxNumDskPath()
  0.00     34.05     0.00        1     0.00     0.00  CDskPathMan::init(int, char*, char*)
  0.00     34.05     0.00        1     0.00     0.00  CDskPathMan::loadFile(char*)
  0.00     34.05     0.00        1     0.00     0.00  CDskPathMan::saveFile(char*)
  0.00     34.05     0.00        1     0.00     0.00  CDskPathMan::terminate()
  0.00     34.05     0.00        1     0.00     0.00  CDskPathMan::CDskPathMan(int, char*, char*)
  0.00     34.05     0.00        1     0.00     0.00  CDskPathMan::~CDskPathMan()
  0.00     34.05     0.00        1     0.00     0.00  CImageTable::getImageTableFullPath()
  0.00     34.05     0.00        1     0.00     0.00  CImageTable::debug(int, char const*, char const*)
  0.00     34.05     0.00        1     0.00     0.00  CImageTable::loadFile(char*)
  0.00     34.05     0.00        1     0.00     0.00  CImageTable::saveFile(char*)
  0.00     34.05     0.00        1     0.00     0.00  CImageTable::CImageTable(char*, char*, char*, char*, int)
  0.00     34.05     0.00        1     0.00     0.00  CTableSpace::debug(int, char const*, char const*)
  0.00     34.05     0.00        1     0.00     0.00  CTableSpace::loadFile(char*)
  0.00     34.05     0.00        1     0.00     0.00  CTableSpace::saveFile(char*)
  0.00     34.05     0.00        1     0.00     0.00  CTableSpace::CTableSpace(int)
  0.00     34.05     0.00        1     0.00     0.00  CCmdDispatch::CCmdDispatch(char*)
  0.00     34.05     0.00        1     0.00     0.00  CCmdDispatch::~CCmdDispatch()
  0.00     34.05     0.00        1     0.00     0.00  CCmdListener::setOutPort(long)
  0.00     34.05     0.00        1     0.00     0.02  CCmdListener::resetAllConnections()
  0.00     34.05     0.00        1     0.00     0.00  CCmdListener::sendDataMessageToCurrRemoteUnit(unsigned char*, int)
  0.00     34.05     0.00        1     0.00     0.00  CCmdListener::sendStringMessageToCurrRemoteUnit(char*)
  0.00     34.05     0.00        1     0.00     0.00  CCmdListener::start()
  0.00     34.05     0.00        1     0.00     0.00  CCmdListener::setInPort(long)
  0.00     34.05     0.00        1     0.00     0.00  CCmdListener::setIpAddr(char*)
  0.00     34.05     0.00        1     0.00     0.02  CCmdListener::CCmdListener()
  0.00     34.05     0.00        1     0.00     0.00  CCfgConfigTag::buildConfigTags()
  0.00     34.05     0.00        1     0.00     0.00  CCfgConfigTag::loadConfigTagsValue(char*)
  0.00     34.05     0.00        1     0.00     0.00  CCfgConfigTag::init(int, char*)
  0.00     34.05     0.00        1     0.00     0.00  CCfgConfigTag::terminate()
  0.00     34.05     0.00        1     0.00     0.00  CCfgConfigTag::CCfgConfigTag()
  0.00     34.05     0.00        1     0.00     0.00  CCfgConfigTag::~CCfgConfigTag()
  0.00     34.05     0.00        1     0.00     0.00  CCfgDiskGroup::loadConfig(int, CCfgConfigTag*)
  0.00     34.05     0.00        1     0.00     0.00  CCfgDiskGroup::getNumOfDisks()
  0.00     34.05     0.00        1     0.00     0.00  CCfgDiskGroup::getNumOfCopies()
  0.00     34.05     0.00        1     0.00     0.00  CCfgDiskGroup::getSuperBlockTableFile()
  0.00     34.05     0.00        1     0.00     0.00  CCfgDiskGroup::getSuperBlockTableFilePath()
  0.00     34.05     0.00        1     0.00     0.00  CCfgDiskGroup::getName()
  0.00     34.05     0.00        1     0.00     0.00  CDskDiskGroup::init(long, long, long, long, char*, char*, char*)
  0.00     34.05     0.00        1     0.00     0.00  CDskDiskGroup::terminate()
  0.00     34.05     0.00        1     0.00     0.00  CDskDiskGroup::CDskDiskGroup(void*, long, long, long, long, char*, char*, char*)
  0.00     34.05     0.00        1     0.00     0.00  CCfgHostServer::loadConfig(CCfgConfigTag*)
  0.00     34.05     0.00        1     0.00     0.00  CCfgHostServer::initDefaults()
  0.00     34.05     0.00        1     0.00     0.00  CCfgHostServer::init()
  0.00     34.05     0.00        1     0.00     0.00  CCfgHostServer::terminate()
  0.00     34.05     0.00        1     0.00     0.00  CCfgHostServer::CCfgHostServer()
  0.00     34.05     0.00        1     0.00     0.00  CCfgHostServer::~CCfgHostServer()
  0.00     34.05     0.00        1     0.00     0.00  CCfgRemoteUnit::getOutPort()
  0.00     34.05     0.00        1     0.00     0.00  CDskRoundRobin::getMaxNumRoundRobinTable()
  0.00     34.05     0.00        1     0.00     0.00  CDskRoundRobin::init(int)
  0.00     34.05     0.00        1     0.00     0.00  CDskRoundRobin::terminate()
  0.00     34.05     0.00        1     0.00     0.00  CDskRoundRobin::CDskRoundRobin(int)
  0.00     34.05     0.00        1     0.00     0.00  CDskRoundRobin::~CDskRoundRobin()
  0.00     34.05     0.00        1     0.00     0.00  CTableMetadata::loadFile(char*)
  0.00     34.05     0.00        1     0.00     0.00  CTableMetadata::saveFile(char*)
  0.00     34.05     0.00        1     0.00     0.00  CTableMetadata::CTableMetadata(int)
  0.00     34.05     0.00        1     0.00     0.00  CDskDiskManExec::freeAllThreads()
  0.00     34.05     0.00        1     0.00     0.00  CDskDiskManExec::init(void*, int)
  0.00     34.05     0.00        1     0.00     0.00  CDskDiskManExec::terminate()
  0.00     34.05     0.00        1     0.00     0.00  CDskDiskManExec::CDskDiskManExec(void*, int)
  0.00     34.05     0.00        1     0.00     0.00  CDskDiskManExec::~CDskDiskManExec()
  0.00     34.05     0.00        1     0.00     0.00  CDskSuperBlockMan::init(int, char*, char*)
  0.00     34.05     0.00        1     0.00     0.00  CDskSuperBlockMan::loadFile(char*)
  0.00     34.05     0.00        1     0.00     0.00  CDskSuperBlockMan::saveFile(char*)
  0.00     34.05     0.00        1     0.00     0.00  CDskSuperBlockMan::terminate()
  0.00     34.05     0.00        1     0.00     0.00  CDskSuperBlockMan::CDskSuperBlockMan(int, char*, char*)
  0.00     34.05     0.00        1     0.00     0.00  CDskSuperBlockMan::~CDskSuperBlockMan()
